yearmoth  min	  5th	   med	    95th     max
194702  268.19   270.32   272.81   276.68   276.69 
194703  272.17   273.00   276.40   279.97   281.65 
194704  278.38   278.53   281.35   285.09   285.37 
194705  286.53   286.59   289.24   292.83   293.30 
194706  292.95   292.99   296.12   298.45   298.50 
194707  297.63   297.70   300.40   302.55   302.77 
194708  297.51   297.63   300.39   302.11   302.68 
194709  291.28   292.29   295.26   297.01   297.63 
194710  281.73   283.18   286.11   288.34   289.38 
194711  274.00   274.72   277.76   282.30   282.98 
194712  266.84   268.43   271.05   275.01   276.82 
194801  264.44   264.78   270.91   273.44   276.00 
194802  269.71   269.89   273.12   278.10   279.01 
194803  271.44   273.49   276.22   279.93   280.39 
194804  275.77   277.90   281.67   284.74   287.46 
194805  286.10   286.71   289.27   292.85   294.85 
194806  292.09   293.30   296.14   298.21   298.34 
194807  297.90   298.29   300.59   302.27   302.42 
194808  296.35   296.40   300.41   302.27   302.49 
194809  290.13   292.49   294.65   297.62   298.19 
194810  283.34   283.50   286.36   288.84   290.20 
194811  273.03   274.60   277.41   281.74   282.23 
194812  266.15   267.14   271.32   275.61   275.64 
194901  265.45   266.12   270.78   274.23   274.93 
194902  268.88   269.72   273.29   277.19   278.33 
194903  273.38   273.39   276.15   280.55   282.09 
194904  276.43   277.60   282.12   285.26   285.40 
194905  285.49   285.62   289.27   292.04   292.60 
194906  291.80   292.66   295.57   297.92   298.30 
194907  297.12   297.98   300.07   302.34   302.70 
194908  297.85   297.99   300.92   301.85   302.36 
194909  292.19   292.22   294.97   297.07   297.56 
194910  282.56   283.13   285.83   289.16   290.03 
194911  272.93   273.46   277.64   280.42   281.02 
194912  268.26   268.87   271.85   275.68   276.16 
195001  262.59   265.84   271.37   274.06   275.12 
195002  269.02   269.33   273.76   277.83   278.14 
195003  271.71   272.65   276.60   279.75   283.46 
195004  276.42   277.29   281.60   286.20   287.08 
195005  285.59   285.72   289.34   292.72   292.77 
195006  291.33   292.59   296.29   299.11   299.45 
195007  298.10   298.20   300.61   303.31   303.66 
195008  296.43   298.53   300.45   302.72   303.27 
195009  291.56   292.10   294.86   296.94   296.96 
195010  281.96   282.81   286.14   287.70   289.09 
195011  273.32   273.79   277.57   280.45   282.43 
195012  267.61   268.95   271.16   274.41   276.56 
195101  265.78   266.35   270.26   273.69   274.07 
